EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
191218855,AUS / Hamilton (AUS) 22nd Nov,R2 1609m Mdn,22-11-2021 02:50,40950759,1. Athletic Me,0,19.48866334634614,19.2685443332702112060287543650529430439,11.7523772837332159366057671142416905129,21,15.5,200,200,1817.2,770.4,37.06
191218853,AUS / Hamilton (AUS) 22nd Nov,R1 2209m Mdn,22-11-2021 02:10,26335917,8. There For You,0,11,9.76648743661386060997620599538320366856,8.42827073160916965749311167177770877006,10.5,9,300,8.2,13170.83,10267.78,548.75
191218859,AUS / Hamilton (AUS) 22nd Nov,R4 1109m Mdn,22-11-2021 04:00,39388542,6. Mr Freeze,0,4.181614549615513,4.72268998772091958519799298023757511182,3.7044183588353045580551049296633319902,6.6,4.2,4.2,4.2,24768.02,16845,341.12
191218861,AUS / Hamilton (AUS) 22nd Nov,R5 1109m Hcap,22-11-2021 04:30,41573872,3. Enigma,1,2.4808401905211737,2.4655488316914168526844621643477154141,2.09279196797706309906942068305466614363,2.56,2.04,2.22,2.22,48690.1,33893.64,5511.8
191218863,AUS / Hamilton (AUS) 22nd Nov,R6 1409m Mdn,22-11-2021 05:00,41774555,12. Salsaset,0,9.47062479465356,8.2259507571998426736041443112152018199,6.203955819964240295423670165124385693,9.6,6.8,700,550,8987.77,5811.82,75.85
191218865,AUS / Hamilton (AUS) 22nd Nov,R7 1409m Hcap,22-11-2021 05:30,13379545,13. Bunumburt,0,80,22.0203263617761864153040559533537763452,23.451377326296575532716955676362049125,85,70,1,1001,756.03,684,72.03
191271981,AUS / Wagga (AUS) 22nd Nov,R5 1660m Mdn,22-11-2021 04:15,41761687,6. Meladia,0,3.171445761,3.10736979758984325784433013027929882249,2.96418168540557944420205828622357439998,3.3,3,350,3.75,21430.45,14408.82,835.69
191271981,AUS / Wagga (AUS) 22nd Nov,R5 1660m Mdn,22-11-2021 04:15,41761690,14. Semifox,0,85,54.3690216243308858422666519739903658263,49.0611656678453021270563776253514249939,90,34,500,300,1269.83,1023.04,21.11
191271987,AUS / Wagga (AUS) 22nd Nov,R8 1200m CL3,22-11-2021 06:05,41573829,3. Ring Of Honour,0,10.28922458531699,6.67470595438884138273956212636703010265,7.03076658960331448714720626273262068808,13,8.4,1,1001,5242.44,5178.3,64.14
191271987,AUS / Wagga (AUS) 22nd Nov,R8 1200m CL3,22-11-2021 06:05,41761708,9. Charming Pat,0,49.704448468,24.3772244238456090963002043192068782315,23.6590048260482328654575079916320880426,65,50,48,15,1448.39,1128.8,319.59
191271973,AUS / Wagga (AUS) 22nd Nov,R1 1200m Mdn,22-11-2021 01:45,41761673,13. Secret Disclosure,0,10.50058886424638,11.428727418514026309826060926202885987,8.73332727020753213456674635346291099331,15,10,890,700,2309.04,1394.3,56.46
191271979,AUS / Wagga (AUS) 22nd Nov,R4 1100m Hcap,22-11-2021 03:40,41761685,12. Mongolian Brave,0,18.5,19.2493896283876163115974253380608120566,14.7614069278881027002614039169529336089,32,15,200,19,3653.35,2492.44,95.31
191271983,AUS / Wagga (AUS) 22nd Nov,R6 1800m Hcap,22-11-2021 04:50,23503692,10. Weja,0,3.7336601275578865,3.1281371998912219758515102217801636862,3.32896178087736863009335571738735960795,4.2,3.55,34,3.6,15761.22,14830.12,931.1
191272188,AUS / Canberra (AUS) 22nd Nov,R6 1770m Pace M,22-11-2021 10:19,26790728,8. Llanfair Rumours,0,22.45570275424048,22.1267295143993717871433116253716114078,15.0324763193504736129905277401894451962,21,20,1000,500,458.18,199.14,14.88
191272182,AUS / Canberra (AUS) 22nd Nov,R3 1770m Pace M,22-11-2021 08:45,40622296,6. Arma Miss,0,32.592651379,27.5483767218115145946905552103638960521,13.154777761839381954548248939527449333,46,32,910,730,975.98,150.94,24.86
191272182,AUS / Canberra (AUS) 22nd Nov,R3 1770m Pace M,22-11-2021 08:45,41466732,9. Hawke Eye,0,16.651893832,17.1491848821750334754977843200181939802,17.3416078342063311318606240036438168982,1,1001,1000,120,439.1,91.74,42.4
191272184,AUS / Canberra (AUS) 22nd Nov,R4 1770m Pace M,22-11-2021 09:20,38090826,5. Dashing Cheddar,0,3.357481694,3.09201012223498148582950621198820117448,2.22060116114748170316420453411009381912,3.3,2.8,3.75,3.2,9015.22,4257.02,883.42
191272186,AUS / Canberra (AUS) 22nd Nov,R5 1770m Pace M,22-11-2021 09:48,31196809,6. Louisiana Freedom,0,8.780628887428902,7.92102126161467040580593938339156355699,4.3072501261988894497728419989904088844,8,7.2,1000,1000,2218.72,611.54,103.86
191272190,AUS / Canberra (AUS) 22nd Nov,R7 2170m Trot M,22-11-2021 10:50,388977,7. Lucky Eyes,0,7.87353124214802,7.03231845287498637039584851099595468747,4.94241691556440525292751149670506803205,7.2,6.6,1000,500,2742.09,1190.9,77.53
191273101,AUS / Newcastle (AUS) 22nd Nov,R1 2030m Pace M,22-11-2021 02:05,39098106,5. Nuart,1,2.440546187670552,2.19050687080331689152986011908288212579,1.77160353133777707844404195556031697674,2.3,2.02,3.5,3.5,11947.88,6736.44,1024.14
191273105,AUS / Newcastle (AUS) 22nd Nov,R3 1609m Pace M,22-11-2021 03:22,28638288,5. Miss Sonic Boom,0,7.823867683,8.9321189336816050210903065059410698833,7.6749076668364747834946510443199184921,10,7.8,1,1001,1256.32,814.72,218.74
